Soortnaam;Naam locatie;Provincie;Pink;Uitgevoerd;link waarnemingen Conform-Protocol tellingen 2016;puntlocaties zonder CP  telling 2016
Grote bremraap;Nijlense beek (c5-43-24);Antwerpen;;1;http://waarnemingen.be/waarneming/view/119980845;
Grote bremraap;Kleine Netevallei (c5-32-43);Antwerpen;;1;http://waarnemingen.be/waarneming/view/122060890;
Grote bremraap;Halse Bossen (c5-22-14);Antwerpen;;1;http://waarnemingen.be/waarneming/view/124424100;
Grote bremraap;Lovenhoek (c5-24-32);Antwerpen;;1;http://waarnemingen.be/waarneming/view/122061315;
Grote bremraap;Kattenberg (c5-12-44);Antwerpen;;1;http://waarnemingen.be/waarneming/view/124424046;
Grote bremraap;Vorsebeemden (c5-12-42);Antwerpen;;1;http://waarnemingen.be/waarneming/view/118960657;
Klimopklokje;Watereinde (d5-18-14);Antwerpen;;1;http://waarnemingen.be/waarneming/view/120294684;
Klimopklokje;Kindernouw1 (c5-15-32);Antwerpen;;1;http://waarnemingen.be/waarneming/view/124471030;
Klimopklokje;Kindernouw2 (c5-15-41);Antwerpen;;1;http://waarnemingen.be/waarneming/view/120309173;
Klimopklokje;Meergoor2 (c6-24-13);Antwerpen;;1;http://waarnemingen.be/waarneming/view/123222114;
Klimopklokje;Rollekesbergen (b5-56-33);Antwerpen;;1;http://waarnemingen.be/waarneming/view/124471039;
Krabbenscheer;Blaasveldbroek2 (d4-26-12);Antwerpen;;1;http://waarnemingen.be/waarneming/view/123357165;
Krabbenscheer;Blaasveldbroek1 (d4-16-34);Antwerpen;;1;http://waarnemingen.be/waarneming/view/122773803;
Krabbenscheer;Vormingsstation1 (b4-55-24);Antwerpen;;1;http://waarnemingen.be/waarneming/view/122612640;
Krabbenscheer;Vormingsstation3 (b4-56-31);Antwerpen;;1;http://waarnemingen.be/waarneming/view/122613503;
Moerassmele;Langdonken (d5-26-44);Antwerpen;;1;Heel het gebied doorzocht maar geen gevonden. Gebied danig groot dat nulwaarneming geen zin had;
Moerassmele;Turnhouts vennengebied (b5-37-24);Antwerpen;;1;http://waarnemingen.be/waarneming/view/121866898;
Plat fonteinkruid;Oudbroekpolder (c4-54-23);Antwerpen;;1;http://waarnemingen.be/waarneming/view/121243190;
Ronde zegge;Grote Nete (c6-44-13);Antwerpen;;1;http://waarnemingen.be/user/view/40004?q=&akt=0&g=0&from=2015-11-22&to=2016-11-21&prov=0&z=0&sp=0&gb=0&cdna=0&f=0&m=K&zeker=O&month=0&rows=20&only_hidden=0&zoektext=0&tag=0&plum=0&from=2015-11-22&to=2016-11-21&q=ronde+zegge&zoektext=0&g=0&z=0&month=0&prov=0&m=K&zeker=O&rows=20&only_hidden=0;
Ronde zegge;Moer2 (b5-27-32);Antwerpen;;1;http://waarnemingen.be/waarneming/view/119648795;
Slank wollegras;Meergoor (c6-23-42);Antwerpen;;1;http://waarnemingen.be/waarneming/view/123162851;
Slank wollegras;Buitengoor2 (c6-24-31);Antwerpen;;1;http://waarnemingen.be/waarneming/view/123162825;
Slank wollegras;Buitengoor1 (c6-24-13);Antwerpen;;1;http://waarnemingen.be/waarneming/view/123162804;
Stekende bies;Scheldeschorren, Schor van Weert (c4-52-42);Antwerpen;;1;http://waarnemingen.be/waarneming/view/120670466;
Veenmosorchis;Buitengoor2 (c6-24-31);Antwerpen;;1;http://waarnemingen.be/waarneming/view/121301699;
Veenmosorchis;Buitengoor1 (c6-24-13);Antwerpen;;1;http://waarnemingen.be/waarneming/view/121301657;
Welriekende nachtorchis;Buitengoor2 (c6-24-31);Antwerpen;;1;http://waarnemingen.be/waarneming/view/121301749;
Welriekende nachtorchis;Turnhouts Vennengebied1 (b5-38-11);Antwerpen;;1;http://waarnemingen.be/waarneming/view/121148177;
Welriekende nachtorchis;Turnhouts Vennengebied (Zandvenheide) (b5-37-41);Antwerpen;;1;http://waarnemingen.be/waarneming/view/121148865;
Welriekende nachtorchis;Turnhouts Vennengebied (Zwartwater) (b5-37-24);Antwerpen;;1;http://waarnemingen.be/waarneming/view/121147571;
Welriekende nachtorchis;Turnhouts Vennengebied (Kasteeltjes) (b5-37-21);Antwerpen;;1;http://waarnemingen.be/waarneming/view/121147163;
Witte waterranonkel;Blommerschot (c5-14-24);Antwerpen;;1;http://waarnemingen.be/waarneming/view/124319811;
Witte waterranonkel;Tielenkamp1 (c5-17-14);Antwerpen;;1;http://waarnemingen.be/waarneming/view/123375478;
Witte waterranonkel;Tielenkamp2 (c5-17-21);Antwerpen;;1;http://waarnemingen.be/waarneming/view/116377864;
Witte waterranonkel;Tielenkamp3 (c5-17-22);Antwerpen;;1;http://waarnemingen.be/waarneming/view/116377852;
Witte waterranonkel;Buitengoor - Meergoor - Sluismeer1 (c6-23-41);Antwerpen;;1;http://waarnemingen.be/waarneming/view/121062639;
Witte waterranonkel;Groesgoor en Koemoek1 (c6-13-22);Antwerpen;;1;http://waarnemingen.be/waarneming/view/120178718;
Witte waterranonkel;Groesgoor en Koemoek2 (c6-14-11);Antwerpen;;1;http://waarnemingen.be/waarneming/view/120189827;
Witte waterranonkel;Den Uitlegger (b4-48-11);Antwerpen;;1;http://waarnemingen.be/waarneming/view/120095835;
Witte waterranonkel;Klein Schietveld (b4-38-33);Antwerpen;;1;http://waarnemingen.be/waarneming/view/124274828;http://waarnemingen.be/waarneming/view/56160414
Witte waterranonkel;Witte Kei (b5-26-12);Antwerpen;;1;http://waarnemingen.be/waarneming/view/120435868;
Witte waterranonkel;Wortel-Kolonie (b5-25-22);Antwerpen;;1;http://waarnemingen.be/waarneming/view/120435864;
Witte waterranonkel;Bonte Klepper (b5-44-13);Antwerpen;;1;http://waarnemingen.be/waarneming/view/124319815;
Witte waterranonkel;Goorbossen1 (b6-52-24);Antwerpen;;1;http://waarnemingen.be/waarneming/view/125872805;
Witte waterranonkel;Hoge Mierdse Heide1 (b6-41-13);Antwerpen;;1;http://waarnemingen.be/waarneming/view/119528498;
Witte waterranonkel;Hoge Mierdse Heide2 (b6-41-14);Antwerpen;;1;http://waarnemingen.be/waarneming/view/119081668;
Witte waterranonkel;Liereman (b6-41-12);Antwerpen;;1;http://waarnemingen.be/waarneming/view/119528511;
Witte waterranonkel;Kijkverdriet (b6-31-32);Antwerpen;;1;http://waarnemingen.be/waarneming/view/118622858;
Driekantige bies;Scheldeoever7 (d3-36-14);Oost-Vlaanderen;;1;http://waarnemingen.be/waarneming/view/122986026;
Driekantige bies;Scheldeoever9 (d3-37-13);Oost-Vlaanderen;;1;http://waarnemingen.be/waarneming/view/123271820;
Driekantige bies;Scheldeoever10 (d3-37-23);Oost-Vlaanderen;;1;http://waarnemingen.be/waarneming/view/122983150;
Driekantige bies;Scheldeoever4 (d3-28-22);Oost-Vlaanderen;;1;http://waarnemingen.be/waarneming/view/122986039;skiclub
Driekantige bies;Scheldeoever12 (d4-12-44);Oost-Vlaanderen;;1;http://waarnemingen.be/waarneming/view/122849597;http://waarnemingen.be/waarneming/view/55765604
Grote bremraap;Broekhuize (c2-26-34);Oost-Vlaanderen;;1;http://waarnemingen.be/waarneming/view/120441716;
Grote bremraap;Oostveldakker2 (c2-38-23);Oost-Vlaanderen;;1;http://waarnemingen.be/waarneming/view/124630181;
Grote bremraap;Aalterbrug (c2-56-32);Oost-Vlaanderen;;1;http://waarnemingen.be/waarneming/view/120485048;
Kleine schorseneer;Pomperik2 (d6-58-44);Limburg;;1;http://waarnemingen.be/waarneming/view/118956300;
Kleine wolfsklauw;Mechelse Heide2 (d7-44-11);Limburg;;1;http://waarnemingen.be/waarneming/view/125914591;
Kleine wolfsklauw;Mechelse Heide1 (d7-34-33);Limburg;;1;http://waarnemingen.be/waarneming/view/125914602;
Polei;Grensmaas2 (d7-55-41);Limburg;;1;http://waarnemingen.be/waarneming/view/125894811;
Polei;Grensmaas1 (d7-17-13);Limburg;;1;http://waarnemingen.be/waarneming/view/125881598;
Purperorchis;Stroevenbos1 (f7-17-22);Limburg;;1;http://waarnemingen.be/waarneming/view/119338617;
Purperorchis;Stroevenbos2 (f7-18-11);Limburg;;1;http://waarnemingen.be/waarneming/view/119478765;
Purperorchis;Overbroek (e6-55-22);Limburg;;1;http://waarnemingen.be/waarneming/view/119947715;
Purperorchis;Broekbos (e7-57-24);Limburg;;1;http://waarnemingen.be/waarneming/view/119338677;
Purperorchis;Roodbos (e7-58-34);Limburg;;1;http://waarnemingen.be/waarneming/view/119338641;
Purperorchis;Veursbos2 (e7-58-31);Limburg;;1;http://waarnemingen.be/waarneming/view/119338647;
Purperorchis;Weerhakenmonument (e7-58-24);Limburg;;1;http://waarnemingen.be/waarneming/view/120045808;
Purperorchis;Grootbos (e7-32-44);Limburg;;1;http://waarnemingen.be/waarneming/view/125880290;
Spits fonteinkruid;Spitsbos (e6-18-42);Limburg;;1;http://waarnemingen.be/waarneming/view/125895018;
Welriekende nachtorchis;Mabroek (f7-18-22);Limburg;;1;http://waarnemingen.be/waarneming/view/133581281;
Welriekende nachtorchis;Alsbos (e7-57-34);Limburg;;1;http://waarnemingen.be/waarneming/view/119175678;
Welriekende nachtorchis;Veursbos-Zuid (e7-58-31);Limburg;;1;http://waarnemingen.be/waarneming/view/133581262;
Welriekende nachtorchis;Teuvenerberg (e7-58-21);Limburg;;1;http://waarnemingen.be/waarneming/view/133581564;
Welriekende nachtorchis;Hasselbos (e7-31-31);Limburg;;1;http://waarnemingen.be/waarneming/view/119919601;
Welriekende nachtorchis;Boenderberg (e8-51-31);Limburg;;1;http://waarnemingen.be/waarneming/view/119478772;
Witte waterranonkel;Beverbeekse Heide (b7-51-23);Limburg;;1;http://waarnemingen.be/waarneming/view/122323474;
Bleekgeel blaasjeskruid;Demerbroeken (d5-38-22);Vlaams-Brabant;;1;naar gezocht, niet gevonden, moeilijk toegankelijk, privaat, we zoeken volgend jaar opnieuw;
Grote bremraap;Averbode Bos en Heide (d5-28-24);Vlaams-Brabant;;1;http://waarnemingen.be/waarneming/view/118353288;
Grote bremraap;Ossenberg (d5-48-33);Vlaams-Brabant;;1;http://waarnemingen.be/waarneming/view/122074436;
Grote bremraap;Negenbunders (d5-48-34);Vlaams-Brabant;;1;http://waarnemingen.be/waarneming/view/119547457;
Grote bremraap;Luienberg (d6-41-32);Vlaams-Brabant;;1;http://waarnemingen.be/waarneming/view/119210077;
Grote bremraap;Kloosterberg (d6-42-13);Vlaams-Brabant;;1;http://waarnemingen.be/waarneming/view/119306728;
Kleine schorseneer;Vorsdonkbos-Turfputten (d5-45-14);Vlaams-Brabant;;1;http://waarnemingen.be/waarneming/view/120299446;
Koprus;Dassenaarde1 (d6-31-21);Vlaams-Brabant;;1;http://waarnemingen.be/waarneming/view/122502339;
Koprus;Dassenaarde2 (d6-31-22);Vlaams-Brabant;;1;http://waarnemingen.be/waarneming/view/120349935;
Ronde zegge;Demerbroeken (d5-38-22);Vlaams-Brabant;;1;http://waarnemingen.be/waarneming/view/118987954;
Witte waterranonkel;Averbodes Bos (d5-28-32);Vlaams-Brabant;;1;http://waarnemingen.be/waarneming/view/117957640;
Harlekijn;Achter Schoonhoven (d5-37-33);Vlaams-Brabant;;1;http://waarnemingen.be/waarneming/view/118037819;
Duingentiaan;Westhoek3 (c0-56-33);West-Vlaanderen;1;1;INBO databank;
Duingentiaan;Westhoek4 (c0-56-34);West-Vlaanderen;1;1;INBO databank;
Duingentiaan;Westhoek1 (c0-56-31);West-Vlaanderen;1;1;INBO databank;
Duingentiaan;Westhoek2 (c0-56-32);West-Vlaanderen;1;1;INBO databank;
Duingentiaan;Westhoek5 (c0-56-41);West-Vlaanderen;1;1;INBO databank;
Fijn goudscherm;Zwin2 (b2-34-32);West-Vlaanderen;;1;http://waarnemingen.be/waarneming/view/123321308;
Grote bremraap;Duvelsgat (c1-38-41);West-Vlaanderen;;1;http://waarnemingen.be/waarneming/view/119062789;
Harlekijn;Kartuizerduinen (c0-48-24);West-Vlaanderen;;1;http://waarnemingen.be/waarneming/view/117891992;
Honingorchis;Ter Yde2 (c0-48-41);West-Vlaanderen;1;1;INBO databank;
Honingorchis;Westhoek2 (c0-56-33);West-Vlaanderen;1;1;INBO databank;
Honingorchis;Westhoek3 (c0-56-34);West-Vlaanderen;1;1;INBO databank;
Honingorchis;Westhoek1 (c0-56-32);West-Vlaanderen;1;1;INBO databank;
Spits fonteinkruid;Blankaart2 (d1-33-34);West-Vlaanderen;;1;kaarten ontvangen;
Spits fonteinkruid;Blankaart3 (d1-33-43);West-Vlaanderen;;1;kaarten ontvangen;
Spits fonteinkruid;Blankaart1 (d1-33-32);West-Vlaanderen;;1;kaarten ontvangen;
Weegbreefonteinkruid;Hannecartbos (c0-48-42);West-Vlaanderen;;1;http://waarnemingen.be/waarneming/view/122980466;
Weegbreefonteinkruid;Fonteintjes2 (b2-41-13);West-Vlaanderen;;1;http://waarnemingen.be/waarneming/view/122508562;
Welriekende nachtorchis;Gulke Putten (d2-13-24);West-Vlaanderen;;1;http://waarnemingen.be/waarneming/view/122085662;
